Порядковый номер,Идентификационный номер,Классификация очагов,Год обследования,"Периметр территории очагов,м","Площадь территории очагов,м2"
3846,2212,Возникающий очаг,2017,73.9964981,339.0523376
3847,2213,Без признаков поражения,2017,106.9396744,310.1470947
3848,2214,Действующий очаг,2017,163.0338745,591.838501
3849,2215,Действующий очаг,2017,256.7961121,-8632.4980469
3850,2216,Действующий очаг,2017,144.1448669,-2103.2124023
3851,2217,Возникающий очаг,2017,47.1837158,82.188118
3852,2218,Возникающий очаг,2017,517.1165771,-24682.0332031
3853,2219,Действующий очаг,2017,205.3069,-2012.9467773
3854,2220,Возникающий очаг,2017,456.9176941,16647.6992188
3855,2221,Возникающий очаг,2017,211.7098389,23.9114418
3856,2222,Действующий очаг,2017,417.8903198,-36852.8476563
3857,2223,Возникающий очаг,2017,81.8013077,379.644165
3858,2224,Возникающий очаг,2017,114.9019928,709.3535767
3859,2225,Действующий очаг,2017,166.7223358,709.0497437
3860,2226,Действующий очаг,2017,75.7924881,349.6778564
3861,2227,Возникающий очаг,2017,34.5944443,109.9319
3862,2228,Возникающий очаг,2017,39.3987007,148.4593353
3863,2229,Без признаков поражения,2017,41.9383774,138.1455841
3864,2230,Без признаков поражения,2017,41.4608574,55.8133926
3865,2231,Без признаков поражения,2017,46.9191818,115.0162277
3866,2232,Без признаков поражения,2017,48.7541656,141.4570465
3867,2233,Без признаков поражения,2017,44.5208054,121.80896
3868,2234,Без признаков поражения,2017,291.4527283,-1303.706543
3869,2235,Без признаков поражения,2017,300.9521179,1370.9794922
3870,2236,Возникающий очаг,2017,94.7676849,145.8008118
3871,2237,Без признаков поражения,2017,177.4438477,-411.1022644
3872,2238,Возникающий очаг,2017,53.0029793,202.9085236
3873,2239,Без признаков поражения,2017,155.3397675,-105.1519547
3874,2240,Возникающий очаг,2017,11.7071161,11.9093513
3875,2241,Возникающий очаг,2017,32.3885002,78.5242767
3876,2242,Действующий очаг,2017,25.3908291,51.5805168
3877,2243,Действующий очаг,2017,25.0637932,47.7052155
1471,2244,Действующий очаг,2009,562.3754883,1096.2335205
1554,2245,Действующий очаг,2009,93.3270798,171.3614502
1555,2246,Затухающий очаг,2009,146.4626465,278.8127747
1556,2247,Действующий очаг,2009,73.7589111,131.9594727
1557,2248,Действующий очаг,2009,253.7565308,490.6463318
1559,2249,Действующий очаг,2009,193.5324554,369.677124
1560,2250,Возникающий очаг,2009,41.9321213,67.9162598
1561,2251,Возникающий очаг,2009,45.043499,73.6394043
1562,2252,Затухающий очаг,2009,154.50914,292.8777161
1565,2253,Возникающий очаг,2009,54.1027489,92.2990265
1646,2254,Действующий очаг,2009,80.6513443,144.9277039
1647,2255,Действующий очаг,2009,774.9161377,1529.2717285
1648,2256,Возникающий очаг,2009,49.5981712,83.0694504
1649,2257,Возникающий очаг,2009,145.630661,274.4030151
